"","parity","species","ctmin_e","topt_e","ctmax_e"
"1","Oviparous","Agama_agama",NA,31.4,NA
"2","Oviparous","Agama_impalearis",20,30.3,NA
"3","Oviparous","Amphibolurus_muricatus",NA,28.9,NA
"4","Oviparous","Anolis_sagrei",NA,28,39
"5","Oviparous","Bassiana_duperreyi",NA,24,NA
"6","Oviparous","Calotes_versicolor",NA,28.4,33
"7","Oviparous","Chamaeleo_calyptratus",NA,26.5,NA
"8","Oviparous","Chlamydosaurus_kingii",NA,30.4,NA
"9","Oviparous","Crotaphytus_collaris",NA,27.6,NA
"10","Oviparous","Dipsosaurus_dorsalis",25,33.1,NA
"11","Oviparous","Elgaria_multicarinata",NA,27.4,32
"12","Oviparous","Eremias_argus",NA,29.5,NA
"13","Oviparous","Eublepharis_macularius",29,29.2,31
"14","Oviparous","Gekko_japonicus",20,30,NA
"15","Oviparous","Hemidactylus_frenatus",18,26.8,NA
"16","Oviparous","Heteronotia_binoei",NA,30.2,NA
"17","Oviparous","Iberolacerta_cyreni",NA,25,NA
"18","Oviparous","Lacerta_schreiberi",NA,25,NA
"19","Oviparous","Lampropholis_delicata",NA,23.9,NA
"20","Oviparous","Leiolepis_reevesii",NA,30.7,NA
"21","Oviparous","Lepidodactylus_lugubris",12,24.3,NA
"22","Oviparous","Nannoscincus_mariei",15,22.9,NA
"23","Oviparous","Oligosoma_suteri",NA,23.4,NA
"24","Oviparous","Phrynocephalus_przewalskii",NA,28.7,NA
"25","Oviparous","Phrynocephalus_versicolor",NA,27.1,NA
"26","Oviparous","Plestiodon_chinensis",NA,27.9,NA
"27","Oviparous","Plestiodon_elegans",NA,25.6,NA
"28","Oviparous","Podarcis_muralis",NA,25.9,NA
"29","Viviparous","Sceloporus_jarrovii",NA,30.9,38
"30","Oviparous","Sceloporus_undulatus",20,29.2,36
"31","Oviparous","Sceloporus_undulatus",20,29.2,36
"32","Oviparous","Scincella_lateralis",NA,26,30
"33","Oviparous","Scincella_modesta",NA,NA,30
"34","Oviparous","Sphenodon_punctatus",15,NA,NA
"35","Oviparous","Sphenomorphus_indicus",NA,26.5,NA
"36","Oviparous","Takydromus_septentrionalis",NA,25.5,NA
"37","Oviparous","Takydromus_stejnegeri",15,27.1,NA
"38","Oviparous","Takydromus_wolteri",NA,26,NA
"39","Oviparous","Varanus_rosenbergi",24,29.7,NA
"40","Oviparous","Zootoca_vivipara",NA,25.6,NA
